tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
4191,55:44.5,05:36.3,74,Harvard Square at Mass Ave/ Dunster,105,Lower Cambridgeport at Magazine St / Riverside Rd,,
4180,19:07.4,28:48.2,74,Harvard Square at Mass Ave/ Dunster,70,Harvard Kennedy School at Bennett St / Eliot St,,
4169,41:23.3,50:52.6,74,Harvard Square at Mass Ave/ Dunster,124,Curtis Hall - South St at Centre St,,
4168,18:52.3,28:20.9,74,Harvard Square at Mass Ave/ Dunster,70,Harvard Kennedy School at Bennett St / Eliot St,,
4161,21:18.6,30:40.4,74,Harvard Square at Mass Ave/ Dunster,179,MIT Vassar St,,
4139,34:34.5,43:34.0,74,Harvard Square at Mass Ave/ Dunster,186,Congress St at Northern Ave,,
4139,20:42.9,29:42.1,74,Harvard Square at Mass Ave/ Dunster,68,Central Square at Mass Ave / Essex St,,
4138,00:25.2,09:23.6,74,Harvard Square at Mass Ave/ Dunster,120,Beacon St at Charles St,,
4133,20:23.4,29:16.9,74,Harvard Square at Mass Ave/ Dunster,68,Central Square at Mass Ave / Essex St,,
4131,04:26.3,13:17.8,74,Harvard Square at Mass Ave/ Dunster,70,Harvard Kennedy School at Bennett St / Eliot St,,
4121,33:44.2,42:25.4,74,Harvard Square at Mass Ave/ Dunster,31,Seaport Hotel - Congress St at Seaport Ln,,
4110,00:25.5,08:56.3,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,,
4098,37:48.6,46:06.8,74,Harvard Square at Mass Ave/ Dunster,224,Fresh Pond Reservation,,
4098,15:51.2,24:10.0,74,Harvard Square at Mass Ave/ Dunster,218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,,
